,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
0,Bhuvneshwar Kumar,17,17,66,490,23,21.3,7.42,17.21,1,0
1,Yuzvendra Chahal,13,13,49,401,21,19.09,8.15,14.04,1,0
2,Shane Watson,16,16,56,485,20,24.25,8.58,16.95,1,0
3,Dhawal Kulkarni,14,14,49,364,18,20.22,7.42,16.33,1,0
4,Mitchell McClenaghan,14,14,53,436,17,25.64,8.17,18.82,1,0
5,Dwayne Bravo,15,15,56,494,17,29.05,8.82,19.76,1,0
6,Mustafizur Rahman,16,16,61,421,17,24.76,6.9,21.52,0,0
7,Jasprit Bumrah,14,14,52,406,15,27.06,7.8,20.8,0,0
8,Sandeep Sharma,14,14,50,366,15,24.4,7.32,20.0,0,0
9,Andre Russell,12,12,36,291,15,19.4,7.97,14.6,1,0
10,Barinder Sran,14,14,49,413,14,29.5,8.34,21.21,0,0
11,Axar Patel,14,14,48,388,13,29.84,8.11,22.07,1,0
12,Mohit Sharma,14,14,48,407,13,31.3,8.39,22.38,0,0
13,Chris Morris,12,12,44,308,13,23.69,7.0,20.3,0,0
14,Amit Mishra,14,14,46,344,13,26.46,7.47,21.23,1,0
15,Adam Zampa,5,5,17,115,12,9.58,6.76,8.5,0,1
16,Moises Henriques,17,17,52,415,12,34.58,7.98,26.0,0,0
17,Sreenath Aravind,9,9,29,216,11,19.63,7.4,15.9,0,0
18,Sunil Narine,11,11,43,304,11,27.63,7.09,23.36,0,0
19,Ashok Dinda,9,9,30,231,11,21.0,7.57,16.63,0,0
20,Piyush Chawla,12,11,35,273,11,24.81,7.72,19.27,0,0
21,Chris Jordan,9,9,28,258,11,23.45,9.21,15.27,1,0
22,Zaheer Khan,12,12,43,337,10,33.7,7.71,26.2,0,0
23,Morne Morkel,10,10,35,297,10,29.7,8.36,21.3,0,0
24,Umesh Yadav,9,9,26,234,10,23.4,9.0,15.6,0,0
25,Ravichandran Ashwin,14,14,44,319,10,31.9,7.25,26.4,1,0
26,Tim Southee,11,11,43,329,9,36.55,7.65,28.66,0,0
27,Thisara Perera,12,11,33,326,9,36.22,9.82,22.11,0,0
28,Praveen Kumar,16,16,51,401,9,44.55,7.78,34.33,0,0
29,Ashish Nehra,8,8,26,199,9,22.11,7.65,17.33,0,0
30,Harbhajan Singh,14,14,49,392,9,43.55,8.0,32.66,0,0
31,Dwayne Smith,12,8,18,153,8,19.12,8.5,13.5,1,0
32,Ravindra Jadeja,15,14,40,311,8,38.87,7.74,30.12,0,0
33,Marcus Stoinis,7,7,23,194,8,24.25,8.43,17.25,1,0
34,Kane Richardson,4,4,14,136,7,19.42,9.71,12.0,0,0
35,Carlos Brathwaite,8,8,23,185,7,26.42,7.98,19.85,0,0
36,Murugan Ashwin,10,10,28,241,7,34.42,8.45,24.42,0,0
37,Shivil Kaushik,7,7,23,192,6,32.0,8.34,23.0,0,0
38,Krunal Pandya,12,11,31,236,6,39.33,7.57,31.16,0,0
39,Kuldeep Yadav,3,3,12,100,6,16.66,8.33,12.0,0,0
40,Iqbal Abdulla,8,8,25,213,6,35.5,8.52,25.0,0,0
41,Rajat Bhatia,10,10,34,244,6,40.66,7.17,34.0,0,0
42,Pravin Tambe,7,7,16,143,5,28.6,8.93,19.2,0,0
43,Shakib Al Hasan,10,9,31,243,5,48.6,7.83,37.2,0,0
44,Ben Cutting,4,4,11,80,5,16.0,7.16,13.4,0,0
45,Imran Tahir,4,4,16,138,5,27.6,8.62,19.2,0,0
46,Mohammad Shami,8,8,25,244,5,48.8,9.69,30.2,0,0
47,Brad Hogg,5,5,16,142,4,35.5,8.87,24.0,0,0
48,Mitchell Marsh,3,3,9,45,4,11.25,5.0,13.5,0,0
49,Bipul Sharma,7,6,14,121,3,40.33,8.64,28.0,0,0
50,Vinay Kumar,3,3,9,64,3,21.33,7.11,18.0,0,0
51,RP Singh,4,4,12,111,3,37.0,9.25,24.0,0,0
52,Ankit Rajpoot,4,4,11,98,3,32.66,8.9,22.0,0,0
53,Tabraiz Shamsi,4,4,16,147,3,49.0,9.18,32.0,0,0
54,Pradeep Sahu,5,5,17,146,3,48.66,8.34,35.0,0,0
55,Nathan Coulter-Nile,4,4,15,114,3,38.0,7.6,30.0,0,0
56,Hardik Pandya,11,10,16,153,3,51.0,9.18,33.33,0,0
57,Ishant Sharma,4,4,15,148,3,49.33,9.86,30.0,0,0
58,Deepak Hooda,17,6,13,97,3,32.33,7.46,26.0,0,0
59,KC Cariappa,5,5,17,159,3,53.0,9.35,34.0,0,0
60,Scott Boland,2,2,7,54,2,27.0,7.71,21.0,0,0
61,James Faulkner,7,7,17,167,2,83.5,9.82,51.0,0,0
62,Jason Holder,4,4,13,103,2,51.5,7.92,39.0,0,0
63,Jayant Yadav,5,5,17,125,2,62.5,7.35,51.0,0,0
64,John Hastings,2,2,6,37,2,18.5,5.55,20.0,0,0
65,Varun Aaron,8,8,23,227,2,113.5,9.59,71.0,0,0
66,JP Duminy,10,5,7,55,2,27.5,7.85,21.0,0,0
67,Shahbaz Nadeem,4,4,15,127,2,63.5,8.46,45.0,0,0
68,Shadab Jakati,6,6,20,178,2,89.0,8.9,60.0,0,0
69,Sachin Baby,11,2,1,8,2,4.0,4.8,5.0,0,0
70,Kyle Abbott,5,5,16,177,2,88.5,11.06,48.0,0,0
71,Rishi Dhawan,2,2,7,56,2,28.0,8.0,21.0,0,0
72,Mitchell Johnson,3,3,11,106,2,53.0,9.63,33.0,0,0
73,Gurkeerat Mann Singh,7,3,4,31,2,15.5,7.75,12.0,0,0
74,Chris Gayle,10,4,10,63,2,31.5,6.3,30.0,0,0
75,Albie Morkel,2,2,5,66,2,33.0,13.2,15.0,0,0
76,Yusuf Pathan,15,4,6,33,1,33.0,5.5,36.0,0,0
77,Trent Boult,1,1,4,39,1,39.0,9.75,24.0,0,0
78,Adam Milne,1,1,4,43,1,43.0,10.75,24.0,0,0
79,Ankit Sharma,3,3,11,84,1,84.0,7.63,66.0,0,0
80,Stuart Binny,14,11,17,134,1,134.0,7.88,102.0,0,0
81,Ashish Reddy,4,2,4,39,1,39.0,10.17,23.0,0,0
82,Rajagopal Sathish,4,3,6,59,1,59.0,9.83,36.0,0,0
83,Pawan Negi,8,5,9,84,1,84.0,9.33,54.0,0,0
84,Parveez Rasool,4,4,14,129,1,129.0,9.21,84.0,0,0
85,Harshal Patel,5,5,14,147,1,147.0,10.5,84.0,0,0
